alpha,beta,gamma,tau,scf_bc
13,0.7,8,1,0.317369031
22,0.7,8,1,0.315140359
31,0.7,8,1,0.314809704
40,0.7,8,1,0.31478276
4,0.2,20,1,0.709045524
13,0.2,20,1,0.613828733
22,0.2,20,1,0.706178517
31,0.2,20,1,0.708338816
40,0.2,20,1,0.708803315
4,0.3,20,1,1.181774496
13,0.3,20,1,0.505419106
22,0.3,20,1,0.6472714
31,0.3,20,1,0.650223463
40,0.3,20,1,0.650889714
4,0.4,20,1,1.534764296
13,0.4,20,1,0.465728118
22,0.4,20,1,0.646022496
31,0.4,20,1,0.64883144
40,0.4,20,1,0.649562552
4,0.5,20,1,1.887214783
13,0.5,20,1,0.42359635
22,0.5,20,1,0.631103651
31,0.5,20,1,0.633599677
40,0.5,20,1,0.634466528
4,0.6,20,1,2.102159404
13,0.6,20,1,0.265315119
22,0.6,20,1,0.472866109
31,0.6,20,1,0.4747347
40,0.6,20,1,0.47562983
4,0.7,20,1,2.277379988
13,0.7,20,1,0.061477885
22,0.7,20,1,0.121948173
31,0.7,20,1,0.123178003
40,0.7,20,1,0.124104172
4,0.2,32,1,1.10259777
13,0.2,32,1,0.261108295
22,0.2,32,1,0.688426447
31,0.2,32,1,5.208044536
40,0.2,32,1,0.698912602
4,0.3,32,1,1.342082949
13,0.3,32,1,0.424455015
22,0.3,32,1,1.043792658
31,0.3,32,1,1.056132931
40,0.3,32,1,1.059848936
4,0.4,32,1,1.685002638
13,0.4,32,1,0.699557521
22,0.4,32,1,1.513432547
31,0.4,32,1,1.530878277
40,0.4,32,1,1.535135779
4,0.5,32,1,1.981474458
13,0.5,32,1,0.705647079
22,0.5,32,1,1.598890139
31,0.5,32,1,1.619007346
40,0.5,32,1,1.622943466
4,0.6,32,1,8.920622691
13,0.6,32,1,0.362123969
22,0.6,32,1,1.163372268
31,0.6,32,1,1.181817638
40,0.6,32,1,1.231295389
4,0.7,32,1,1.539221489
13,0.7,32,1,0.094280195
22,0.7,32,1,0.57427782
31,0.7,32,1,0.591113445
40,0.7,32,1,0.566742228
