alpha,beta,gamma,tau,scf_cs
13,0.2,32,0.8,21.60752851
22,0.2,32,0.8,23.65178077
31,0.2,32,0.8,23.6871474
40,0.2,32,0.8,23.70195655
4,0.3,32,0.8,14.71434178
13,0.3,32,0.8,26.32918122
22,0.3,32,0.8,29.66648264
31,0.3,32,0.8,29.72202339
40,0.3,32,0.8,29.74743025
4,0.4,32,0.8,13.35215674
13,0.4,32,0.8,30.14074425
22,0.4,32,0.8,34.60492664
31,0.4,32,0.8,34.67819681
40,0.4,32,0.8,34.71134804
4,0.5,32,0.8,11.53254724
13,0.5,32,0.8,32.80930984
22,0.5,32,0.8,37.91553038
31,0.5,32,0.8,37.99772876
40,0.5,32,0.8,38.03399639
4,0.6,32,0.8,53.65781612
13,0.6,32,0.8,35.22004092
22,0.6,32,0.8,40.36676025
31,0.6,32,0.8,40.44704878
40,0.6,32,0.8,40.48297321
4,0.7,32,0.8,44.29603337
13,0.7,32,0.8,36.15475589
22,0.7,32,0.8,40.47343471
31,0.7,32,0.8,40.54182536
40,0.7,32,0.8,40.57095913
4,0.2,8,1,4.077290937
13,0.2,8,1,5.329684251
22,0.2,8,1,5.333120438
31,0.2,8,1,5.332504662
40,0.2,8,1,5.332739866
4,0.3,8,1,5.407513698
13,0.3,8,1,7.569961832
22,0.3,8,1,7.578745457
31,0.3,8,1,7.576480752
40,0.3,8,1,7.577410674
4,0.4,8,1,6.058751201
13,0.4,8,1,8.91736041
22,0.4,8,1,6.783890431
31,0.4,8,1,8.917381217
40,0.4,8,1,8.917970325
4,0.5,8,1,6.50503778
13,0.5,8,1,9.860072752
22,0.5,8,1,9.872730877
31,0.5,8,1,9.868164613
40,0.5,8,1,7.184383958
4,0.6,8,1,6.638262454
13,0.6,8,1,10.16017348
22,0.6,8,1,10.16641471
31,0.6,8,1,10.16637619
40,0.6,8,1,10.16441606
4,0.7,8,1,4.779392445
13,0.7,8,1,7.142560641
22,0.7,8,1,7.173310305
31,0.7,8,1,7.110552699
40,0.7,8,1,7.111106551
4,0.2,20,1,11.44805469
13,0.2,20,1,17.37299155
22,0.2,20,1,17.81375772
31,0.2,20,1,17.8222838
40,0.2,20,1,17.82379941
4,0.3,20,1,12.30737174
13,0.3,20,1,22.3795469
22,0.3,20,1,23.08457098
31,0.3,20,1,23.10567242
40,0.3,20,1,23.10844777
4,0.4,20,1,12.14717076
13,0.4,20,1,26.36678001
22,0.4,20,1,27.29333424
31,0.4,20,1,27.32002535
40,0.4,20,1,27.32385608
4,0.5,20,1,11.4281655
13,0.5,20,1,29.13518612
22,0.5,20,1,30.16848966
31,0.5,20,1,30.19804882
40,0.5,20,1,30.20229113
4,0.6,20,1,10.72329248
13,0.6,20,1,30.35406873
22,0.6,20,1,31.33502291
31,0.6,20,1,31.36275717
40,0.6,20,1,31.3672151
4,0.7,20,1,10.95499893
13,0.7,20,1,30.97733326
22,0.7,20,1,31.77915607
31,0.7,20,1,31.80177826
40,0.7,20,1,31.80489018
4,0.2,32,1,17.97131538
13,0.2,32,1,26.54018647
22,0.2,32,1,29.12440506
31,0.2,32,1,56.40386085
40,0.2,32,1,29.18804239
4,0.3,32,1,18.6218166
13,0.3,32,1,33.38888469
22,0.3,32,1,37.661561
31,0.3,32,1,37.73312292
40,0.3,32,1,37.76544945
4,0.4,32,1,17.19935864
13,0.4,32,1,38.44565721
22,0.4,32,1,44.15320994
31,0.4,32,1,44.24707219
40,0.4,32,1,44.28971987
4,0.5,32,1,15.00557047
13,0.5,32,1,42.00518517
22,0.5,32,1,48.50734972
31,0.5,32,1,48.61191142
40,0.5,32,1,48.659119
4,0.6,32,1,71.66763328
13,0.6,32,1,44.75379769
22,0.6,32,1,51.21834976
31,0.6,32,1,51.31899765
40,0.6,32,1,51.29271408
4,0.7,32,1,13.24304447
13,0.7,32,1,46.20234307
22,0.7,32,1,51.60005342
31,0.7,32,1,51.6806585
40,0.7,32,1,51.84838506
